Cluster,mat_file_name,X_c,Y_c,lon_c,lat_c,road,suburb,city,county,state,postcode,site name
Cluster 19919,3.5_5.5__TMCMC_2000.mat,1571155.5537169212,5180353.057614097,172.64303802603916,-43.52920697,N/A,Central City,Christchurch,Christchurch City,Canterbury,8011,Central City_N/A
Cluster 19919,3.5_5.5__TMCMC_2000_old.mat,1571155.5537169212,5180353.057614097,172.64303802603916,-43.52920697,N/A,Central City,Christchurch,Christchurch City,Canterbury,8011,Central City_N/A
Cluster 19972,2.3_4.9__TMCMC_2000.mat,1570483.310379753,5180969.8998455275,172.63475241411086,-43.5236266,Gracefield Avenue,Central City,Christchurch,Christchurch City,Canterbury,8013,Central City_Gracefield Avenue
Cluster 19975,12_20__TMCMC_2000.mat,1756669.7132947417,5921530.274454755,174.75703494999527,-36.8391515,N/A,Wynyard Quarter,Auckland,N/A,Auckland,N/A,Wynyard Quarter_N/A
Cluster 19988,1_4__TMCMC_2000.mat,1573097.5901892846,5179294.882740914,172.66701869837144,-43.53880738,Aldwins Road,Phillipstown,Christchurch,Christchurch City,Canterbury,8062,Phillipstown_Aldwins Road
Cluster 20060,8.5_12__TMCMC_2000.mat,1571028.188178725,5181447.26,172.6415201999091,-43.51934975,Bishop Street,Saint Albans,Christchurch,Christchurch City,Canterbury,8014,Saint Albans_Bishop Street
Cluster 20077,0.3_3.3__TMCMC_2000.mat,1570809.629,5182996.057200001,172.63889908318873,-43.50539571,Westminster Street,Saint Albans,Christchurch,Christchurch City,Canterbury,8014,Saint Albans_Westminster Street
Cluster 20254,5.5_12__TMCMC_2000.mat,1575172.4874342764,5185942.381707456,172.69300362237402,-43.47902417,Farnley Place,Parklands,Christchurch,Christchurch City,Canterbury,8083,Parklands_Farnley Place
Cluster 20279,11_13__TMCMC_2000.mat,1577929.0370550703,5181085.964538345,172.7268913819642,-43.52283873,Blake Street,South New Brighton,Christchurch,Christchurch City,Canterbury,8062,South New Brighton_Blake Street
Cluster 20381,10.5_14.7__TMCMC_2000.mat,1576723.5264298308,5181487.654697281,172.7119916,-43.51918525,Cornet Lane,Aranui,Christchurch,Christchurch City,Canterbury,8061,Aranui_Cornet Lane
Cluster 20421,12_17__TMCMC_2000.mat,1576646.677061823,5183845.029059908,172.711142,-43.49795665,Castletown Place,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Castletown Place
Cluster 20421,12_17__TMCMC_2000_old.mat,1576646.677061823,5183845.029059908,172.711142,-43.49795665,Castletown Place,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Castletown Place
Cluster 20421,6.5_17.4__TMCMC_2000.mat,1576646.677061823,5183845.029059908,172.711142,-43.49795665,Castletown Place,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Castletown Place
Cluster 20421,6.5_17.4__TMCMC_2000_old.mat,1576646.677061823,5183845.029059908,172.711142,-43.49795665,Castletown Place,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Castletown Place
Cluster 20421,12_17__TMCMC_2000.mat,1576646.677061823,5183845.029059908,172.711142,-43.49795665,Castletown Place,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Castletown Place
Cluster 20421,12_17__TMCMC_2000_old.mat,1576646.677061823,5183845.029059908,172.711142,-43.49795665,Castletown Place,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Castletown Place
Cluster 20421,6.5_17.4__TMCMC_2000.mat,1576646.677061823,5183845.029059908,172.711142,-43.49795665,Castletown Place,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Castletown Place
Cluster 20421,6.5_17.4__TMCMC_2000_old.mat,1576646.677061823,5183845.029059908,172.711142,-43.49795665,Castletown Place,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Castletown Place
